,TIDAK BAKU,BAKU
0,mangtab,bagus
1,evolusionis,revolusioner
6,abstarck,abstrak
7,sebenenarnya,sebenarnya
8,kataakanlah,katakanlah
9,kongkrit,konkrit
14,mk,maka
20,sebanrnya,sebenarnya
21,habya,hanya
28,kanca,kancah
32,berkwalitas,berkualitas
36,mantabb,bagus
37,bapakee,bapak
38,weee,wah
47,mantab,bagus
55,tanpak,tampak
61,intgrasi,integrasi
65,Alloh,Allah
66,terharuh,terharu
69,plis,mohon
70,mgp,mengapa
75,hubnya,hubungannya
77,biarkn,biarkan
79,sec,secara
80,dipinggirkn,dipinggirkan
82,omdo,wacana
83,ntn,nonton
85,taeeekkk,tahi
86,spt,seperti
87,yaelah,aduh
89,gua,saya
92,gpp,baik
93,joss,bagus
95,sampei,sampai
96,pas,cocok
100,semster,semester
101,mahasiwa,mahasiswa
102,ngena,tersentuh
103,hra,harus
108,trimakasih,terimakasih
115,bidg,bidang
119,gercep,tangkas
